"","comicName","comicSummary","comicGrade"
"795","사분의일","잇걸과패션테러리스트","9.87"
"796","재와 먼지의 시","어떤 장의사 이야기","9.81"
"797","헬58","지옥같은섬 58아일랜드 (속칭 헬58)","9.50"
"798","얘보단 일 잘하겠지의 '얘'","사회생활 꺼져","9.78"
"799","이 몸은 신이니라!","카이즈","9.61"
"800","킥오프","열혈 풋살 웹툰","9.73"
"801","그가 내가 되었다","도플갱어","9.73"
"802","지옥의 주인","귀신의 싸움.","9.25"
"803","나, 주태희","임신을 원하지 않아","9.69"
"804","슬프게도 이게 내 인생","사회초년생의 일상툰","9.85"
"805","낮게 날고있는 연","토요일 연재중","9.57"
"806","아무것도 모르지만","매주 토요일 연재","9.80"
"807","다이어트는 내일부터","사랑을 위해 남자가 다이어트 하는 만화","9.69"
"808","쓰레기 마일리지","매주 수요일밤 연재","9.65"
"809","겨울과 봄사이","극과 극인 그들사이","9.87"
"810","살인마들","살인마들이 만났다.","9.89"
"811","프로짝사랑러","감성로맨스인척","9.59"
"812","이시미이야기","이무기이야기","9.58"
"813","야수와 줄리엣","드라마로맨스판타지","9.89"
"814","어둠이 내게 오면","어둑서니와 소녀이야기","9.87"
"815","정스 스토리","정스의 제주 이야기","9.40"
"816","망령왕이","보스 몹 육성기","9.52"
"817","양푼비빔밥","남들과 비슷한 일상툰","9.79"
"818","소녀 연대기","중3소녀 학교성장물","9.71"
"819","고스트 월드","2% 어설픈 고스트들이 모여사는 고스트월드!","9.59"
"820","구남친톡","구남친과 로맨스","9.85"
"821","스트리트킹","일상농구만화입니다","6.38"
"822","카리스마","신의 축복 카리스마","9.90"
"823","모롱하게! 뜨개하게!","전국민 뜨개인 양성 프로젝트!","9.03"
"824","소녀와 동박새","소동을 피우다.","9.85"
"825","막역지우","삼총사","9.81"
"826","한글을 그리다.","한글로 그리는 그림","9.84"
"827","아내가 임신했다","결혼출산장려만화","9.88"
"828","수호령","문을 지키는 영혼들","9.90"
"829","너를 그리다","우리들의 사랑이야기","9.65"
"830","연고남","연애 고자 탈출기","9.67"
"831","마틴 : 그림 그리는 기사","중세풍 판타지드라마","9.91"
"832","박하 이야기","눈이보이지않는 소년","9.90"
"833","적절한 교환일기","약간 이상한 여행","9.85"
"834","게이트","게이트","9.76"
"835","백설:잔혹동화","백합 로맨스","9.87"
"836","큐레이터","유물 관리단","9.72"
"837","빌런즈","빌런들 이야기","9.89"
"838","공룡 러버즈","장거리 국제연애","9.56"
"839","내마음 하늘하늘","모쏠남의 짝사랑","9.68"
"840","B.O.B(best of the best)","3x3농구최강도전기","8.01"
"841","하늘의 가녘","괴물과 싸우는 인간","9.89"
"842","헬로도사","도사와 미아망자","9.84"
"843","캔버스","청춘 로맨스","9.84"
"844","나는 토끼를 키운다.","토끼 키우는 만화","9.89"
"845","뱀파이어 수난시대","뱀파이어 수난시대","9.75"
"846","AIR","붉은눈을 조심해.","9.89"
"847","양배추숲","자연감성 시골만화","9.90"
"848","단편만화","단편 이야기","9.28"
"849","피곤한 직장인 일기","하루 두 컷 일기","9.90"
"850","엑스프렌즈","이별 사연 에피소드","9.87"
"851","연애 못하는 여자","연애 못하는 여자들","9.82"
"852","심야알바","만화가의 맥주집 알바 이야기","9.85"
"853","미합중국 생존실태 보고서","미국 생존 버라이어티 일상툰","9.82"
"854","신들을 부탁해!","구슬로 인생치기","9.80"
"855","WINGS","날개를 가진 자들","9.81"
"856","하루끝에","20대","9.78"
"857","유사소년소녀","내가 유사능력자?!","9.88"
"858","클릭금지","클릭금지","9.76"
"859","오늘도 무사히","간호사가 들려주는 수술실 이야기","9.87"
"860","Home to Home","보건소방문간호사일기","9.86"
"861","데빌런","쩌리파티 도전기","9.76"
"862","하루의 천사","천사의 인간실습 생활기","9.87"
"863","로베스의 완전감각","감정을 찾는 모험.","9.88"
"864","오늘 할래?","학교 E스포츠부","8.59"
"865","그남자의네일공간","후니가 알려주는 네일레시피","9.74"
"866","오늘은 비","완결 끝!","9.91"
"867","알바가 아니야!","본격 레스토랑 만화","8.38"
"868","이차원의 테라리움","영혼을 받았다","9.53"
"869","이길수 있어","청춘 농구만화.","9.46"
"870","나는 사람입니다.","좀비생존만화","9.87"
"871","Alone","[스릴러]","9.79"
"872","마킹!!","스트리트 바스켓볼","9.24"
"873","우리들만의 싸이커","프리스타일축구만화","7.90"
"874","바사무엘","판타지 드라마","9.90"
"875","서유기","손오공 이야기","9.85"
"876","아빠랑 춤출래?","담백육아만화!","9.87"
"877","제카y 제카툰","젴스러운 일상툰","9.81"
"878","뎐스러워","늘 배고픈 청년 뎐","9.52"
"879","벚꽃과 불꽃","다른 세계?","9.88"
"880","굿바이 나의 가디언","그들의 일상생활 판타지","9.64"
"881","대란(大亂) - 1부 갖춘 자와 갖추지 않은 자","1592년 임진년 음력 4월 13일. 건국 200년 만에 위기에 처한 조선을 2017년에","9.84"
"882","4월,벚꽃 우리들","벚꽃 흩날리던 4월의 어느 날, 우리들의 이야기","9.89"
"883","할짝 심리학","심리학 겉핥기","9.90"
"884","향기를 입다","남자의 변신은 무죄","9.34"
"885","인삼류","인삼류","9.47"
"886","U.S.P.O.","이능력자들 사는 이야기","9.38"
"887","마고령","판타지 무협활극.","9.85"
"888","배럴","본격 다트웹툰","9.50"
"889","혼밥, 혼술, 혼자 사는 이야기","혼밥, 혼술, 혼자 사는 이야기","9.90"
"890","새을비전","깨어나세요 도사여!","9.86"
"891","검은선","17살 선이의 나날","9.86"
"892","미래의너에게","미래를 보는 소녀의 로맨스","9.89"
"893","내 여동생은 귀여워","사이좋은 남매의 일상 이야기.","7.17"
"894","키치 꼬치","아니 그게 아니라","8.87"
"895","봉순이 일기","봉순의 평범한 일상","9.84"
"896","홍할홍할","★개그 힐링툰★","9.86"
"897","흑묘","검은 고양이 사냥꾼","9.73"
"898","초월! 집사소녀!!","액션배틀집사성장만화","9.54"
"899","오리씨와 이글군","오리 아빠와 독수리 아들의 일상","9.85"
"900","미즈라 태양의 성","쫄깃탄탄 환상서사극","9.91"
"901","내 남친은 이세계를 구한 용사님!?","용사여친의 대학생활","9.86"
"902","채소담","채지니의 일상툰","9.71"
"903","나의 작업실","웹툰작가가 꿈인 도민우(25) 그가 카페에서 하루종일 그림을 그리면서 생기는 일상 러브코미디","9.85"
"904","따뜻한 나의 코코","우리들을 위한 이야기","9.90"
"905","단짠남녀","굶지 말고 사랑하기","9.89"
"906","데일리 프랑스","프랑스 일기","9.90"
"907","마키시의 이웃들","와장창","9.86"
"908","토끼","토끼야 안녕.","9.74"
"909","주간도시기담","공포개그만화","9.38"
"910","저승탈출 넘버원","환생 안 합니다.","9.25"
"911","초식고등학교","초식동물 학교에 곰이 전학 온다면?","9.88"
"912","비너스","SF 대모험 활극","9.28"
"913","극한고딩","하드코어 스쿨라이프","9.89"
"914","루나샵에 어서오세요!","마법용품가게 루나샵","9.89"
"915","묘 (猫) 하게 이끌리는","고양이 저승 판타지","9.80"
"916","그 앨리스에게 판타지란 없다","이상한 동화 판타지","9.89"
"917","아케미아 아카데미","연금술사,학원물","9.91"
"918","그악나천","순정만화의 정석","9.52"
"919","가족같은회사","완결","9.86"
"920","신선 마트 중간계지점","얼렁뚱땅 세상나기","9.89"
"921","점핑오버","찌질하지 않아","9.70"
"922","고양이툰","적당히 꽃 같은 만화","8.69"
"923","체크메이트 더 게임","지상과지하,인간체스","9.57"
"924","우리들의 트로이메라이","리메이크 본 백업","9.88"
"925","DOLL","인형술사, 재봉사, 마녀.","9.90"
"926","24","원본, 도플갱어","9.36"
"927","오리의 호수","성장기 장편 드라마","9.39"
"928","나오의 결계","일상 판타지","9.73"
"929","열일곱","업뎃","9.57"
"930","히어로키-악의돼지삼형제 ReMake","악당, 히어로 되다","9.59"
"931","사가","영웅들의 이야기","9.62"
"932","Please kiss me, Princess","엘라와루이스의 모험","9.90"
"933","더블랙LABEL","여성느와르","9.90"
"934","나도 예쁘고 싶다","예뻐지고 싶다.","9.79"
"935","잘 부탁해, 얘들아","일상,개그물","9.90"
"936","참새는 새신부!","폭신달콤한 로맨스","9.80"
"937","호곡","조선의 왕 천군이 사라지고 3년 뒤... 한 소녀가 나타나다","9.02"
"938","세피아","#스파이 #액션 #능력물","9.85"
"939","마고","동화의 재구성.","9.89"
"940","최초의 다정","은하계 의료 판타지","9.82"
"941","너도 날 좋아해줬으면","사랑의 잔향","9.88"
"942","니친구 김저키","김저키의 험난한일상","9.72"
"943","누나가 돌아왔다!","농촌 로맨스","9.77"
"944","파리에서 살아남기","파리 일상툰","9.83"
"945","어쩌다 여고","여고 → 남녀공학","9.79"
"946","이매무당전","강한 힘을 가진 인간과 힘을 잃은 도깨비의 힐링드라마","9.91"
"947","신세기 단편 동화","감성 스토리","9.89"
"948","이계리턴즈","이계리턴즈","9.85"
"949","도시남녀제주라이프","도시커플 제주이주툰","9.67"
"950","잘가, 좋은 아침이야","소녀 돌아오다.","9.87"
"951","미친악마","선녀와 악마 환생!","9.84"
"952","개를 낳았다~만남부터 이별까지~","나는 개를 낳은 개엄마입니다.","9.89"
"953","피그말리온","Pygmalion","9.88"
"954","너는 내게","청춘 로맨스","9.89"
"955","새는 시간을 난다","환상을 보는 남자","9.89"
"956","인더섀도우","그림자 이동 초능력","9.89"
"957","지천명 단편집","어서오세요.","9.75"
"958","인수니즘 코믹스","세번째 삶","9.79"
"959","마도","중세 판타지","9.74"
"960","저주인형","판타지 일상 로맨스","9.89"
"961","숨은 연애 찾기","어디있니, 내사랑!","9.73"
"962","너에게까지 시속 100km","사랑에도 속도가 있다면 너에게까지 달려가는 내 속도는 100km야!","9.85"
"963","회색문: 괴담","괴담 만화","9.83"
"964","차원의 소녀","저주의12가지이름","9.89"
"965","니플헤임","지하,지상의 이야기","9.86"
"966","애니멀 다이어리","소심녀학생 성장로맨스","9.71"
"967","공략개시!!","현실공략게임","9.88"
"968","일기장","짝사랑","9.88"
"969","오늘도 냥냥냥♪","컴백냥♪","9.87"
"970","달콤포근 베이커리","맛있는 로맨스","9.82"
"971","드리머즈","드림워커들의 이야기","9.00"
"972","호랑이와 해님달님","<해님달님> 제2장","9.88"
"973","네가 내 천사라고?!","천사 맞아?","9.87"
"974","동물의 왕국","주인공의 파트너찾기","9.80"
"975","컬러풀","너의 감정이 보여","9.83"
"976","선수들","대한민국 선수들의 이야기","9.66"
"977","페이퍼","능력은 완성되어 가는것","9.81"
"978","502호의 묘책","냥이와일인족이야기","9.89"
"979","가비도령","가비와 도령의 모험","9.67"
"980","100%의 연인","보통의 연애","9.89"
"981","꾼대꾼","천상꾼이 되려는 꾼","9.85"
"982","날개 있는 천사 천씨청년","천사를 만나다","9.88"
"983","송곳니 가족","소설툰 (읽는만화)","9.38"
"984","컬러리스트","연극동아리","9.85"
"985","뷰티풀 맨","한 남자의 인생","9.79"
"986","상냥한 녀석들","캠퍼스 로맨스","9.79"
"987","괴신","모두 , 괴신이었다","9.86"
"988","Cafe OK","어떤 카페의 주인장, 명랑한 고양이 비비와 과묵한 매력을 지닌 늑대씨가 풀어가는 일상 이야기","9.88"
"989","저승길잡이","이승과 저승의 경계","9.90"
"990","희망사항","소녀의 일기장","9.86"
"991","그리고 아무 일도 없었다.","그녀석과 만난 이야기 학원개그로맨스","9.83"
"992","스펙터즈","근미래 이능력팀배틀","9.90"
"993","Save Me","자존심싸움","9.86"
"994","그냥 엄청난 판타지","뻔하지 않은 개그 판타지","9.83"
"995","보급형 콤플렉스","보급형 내 인생","9.90"
"996","신라의 달밤","솔직하고 당찬 신라 소녀 김만월!","9.89"
"997","우주인 미밍일기","귀염터지는힐링물♡","9.90"
"998","용사를 찾아서","용사를 찾아서","9.38"
"999","회장님","회장님의 첫사랑♥【시트콤같은 4컷개그】","9.61"
"1000","카페레","십년치 일기","9.85"
"1001","오늘부터 다이어트","오늘부터 다이어트","9.87"
"1002","쿨쿨상담","쿨하지 않은 연애담","9.86"
"1003","내 안에 깃든 너","최강의 귀신. 인간에게 깃들다.","9.91"
"1004","너인 듯 네가 아닌","SF 순정만화","9.89"
"1005","이상의세상","이상한 놈들의 동거","9.16"
"1006","풍월주","스릴러","9.84"
"1007","Animal Today (애니멀 투데이)","그냥 동물 개그만화","8.94"
"1008","안녕,호두","호두의 소소한 일상툰!","9.90"
"1009","러블리러브","사랑에 빠진 것을 아무에게도 말하지 않는","9.60"
"1010","5kg을 위하여","5kg을 위하여!","9.89"
"1011","우리 남매의 일상은","남매들의 화려한 일상.","9.88"
"1012","이웃집 성녀님!","세계를 구한 용사와 성녀! 특별한 그들의 별볼일 없는 이야기!","9.54"
"1013","가담가담","학원암살물","9.89"
"1014","긁지 않은 복권","날씬 복권","9.89"
"1015","잃어버린 시간을 드립니다","시간을 모으는 남자들 ::: 금요일연재","9.86"
"1016","긁적긁적","가려울 때도, 겸연쩍을 때도, 심심할 때도 긁적긁적.","9.43"
"1017","그래도 행성은 돈다","자전이랑 공전한다","9.27"
"1018","윙","도사가 되어라! 모험 판타지","9.59"
"1019","신화의 나라","신화를 잇는 이야기","9.78"
"1020","오늘의 양송","양과 송 부부의 즐거운 나날들","9.81"
"1021","계약우정","삼포세대 비긴즈","9.84"
"1022","королева(퀸)","액션,느와르","9.82"
"1023","인어의 연못","인어를 만나는 남자","9.90"
"1024","PANDEMIC","모두의 이야기","9.83"
"1025","재건! 마왕성","파괴된 마왕성을 재건하라!","9.87"
"1026","INCURSION - 나락의 도시","[본격좀비건축만화]","9.76"
"1027","하늘에 핀 동백꽃","변화와 변화의 이야기.","9.88"
"1028","개포트","동물병원 이야기","9.88"
"1029","별▶주부전","현대판 별주부전이 시작된다!","9.86"
"1030","낭랑 18세","남자가 꼬인다?","9.86"
"1031","뚱뚱이 탈출기","닭살순정만화","9.76"
"1032","너를 위해","조금 특별한 사랑이야기.","9.89"
"1033","식스틴",".","9.88"
"1034","이제 오냥?","순살 크런키 치킨과 가족들의 이야기","9.84"
"1035","생각하는 정이","일상을 그려나가요","9.86"
"1036","다시 만나요","현실이 된 너","9.26"
"1037","싱글리틀파파 다이어리","대학생 육아일기","9.88"
"1038","동물 마누라","내 아내는 동물입니다.","9.77"
"1039","연애를 못하는 남자","승우의 연애 성공기","9.85"
"1040","무슨일이에요?","whats going on?","9.77"
"1041","철없는 수의대생의 일상","공부 언제 하냐!!","9.89"
"1042","한참연하","..","9.65"
"1043","여름밤에 문을 두드린 산타","사람이 된 고양이와 개","9.88"
"1044","뱀프 브라더스","뱀파이어와 인간사이","9.88"
"1045","AMOR","뱀파이어","9.73"
"1046","행복을 입혀 드립니다","행복을 만드는 옷쟁이","9.90"
"1047","옆집에 신이산다","로맨스 판타지","9.72"
"1048","고교생을 환불해 주세요","누가 내 인생 환불 좀!","9.90"
"1049","오늘과 내일의 경계","괴물 몽마와의 사투","9.89"
"1050","자살방지위원회","자살을 원하는 사람들 이야기","9.90"
"1051","커먼 라이더스","로드사이클을 타는 평범한 사람들의 이야기","9.71"
"1052","룽과크리스","자칭 중세배경의 의사와싸이코의 이야기.","9.87"
"1053","안녕도깨비","우리 마을에 도깨비가 산다?","9.87"
"1054","꿈조각꿈","꿈조각꿈","9.88"
"1055","나루아씨전","동양판타지","9.86"
"1056","꼬리","-","9.68"
"1057","뱀블러프","- 씨가 말라간다.","9.75"
"1058","남조선일기","똑같으면서도 완전히 다른 한반도, 윗동네 친구들의 남조선 표류기","9.73"
"1059","Mega 디저트 4총사","모든 것은 디저트로 연결되나요?","9.65"
"1060","우린 NPC다","NPC들의  개그판타지","9.68"
"1061","소온치 이야기","소온치 이야기","9.66"
"1062","FREEKICK","청춘 프리킥!","9.79"
"1063","피플","액션 스릴러...","9.84"
"1064","등선(登仙)","도사에서 신선되기","9.50"
"1065","MY 0호 팬 (마이영호팬)","아이돌 순정","9.86"
"1066","친해져요 금봉씨","시골마을에 괴물이?","9.84"
"1067","요리GO",".","9.85"
"1068","향기방기 연애일기","엉뚱발랄 연애일기","9.70"
"1069","학용품 대전","학용품 배틀물","9.75"
"1070","천상의 전령사","죽음을 통보하는 편지를 배달하는 이야기","9.49"
"1071","바스티아 대륙이야기 -마왕의 대륙-","리얼중세판타지","9.42"
"1072","노미를 잡아라","의문의 소녀 노미","9.63"
"1073","무한의 팔라무트","왕들의 이야기","9.80"
"1074","멋지다고 해줘!","남자시점 순정만화","9.49"
"1075","루벤스와푸생","악연이라 생각하는 남자와 인연이라 생각하는 여자의 지독한 현실 속 사랑이야기.","9.27"
"1076","뜨뜨미지근한","일상의 차갑거나 따뜻한 이야기","9.86"
"1077","대디보이","열혈 본격 학원 육아물","9.73"
"1078","나비리본","죽기 전의 스토리","9.78"
"1079","도깨비 하우스","수상한 하숙집","9.83"
"1080","그녀의 첫사랑","그녀, 첫사랑과 재회하다","9.50"
"1081","기타등등의 연애","신데렐라가 아닌 평범한 우리의 연애 이야기.","9.69"
"1082","가출천사 육성계약","Beyond HELL","9.90"
"1083","뱀파이어 친구","뱀파이어인 친구와 뱀파이어의 친구","9.88"
"1084","링거","저승사자가 된 소년","9.73"
"1085","봄에 꽃 한송이","한송이의 성장이야기","9.90"
"1086","주경야dog","낮에는 일하고 밤에는 우리 집 강아지를 탐구합니다.","9.85"
"1087","업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.71"
"1088","방백남녀","남녀의 우정","9.31"
"1089","백조의 호수","은둔형 외톨이 백수 로맨스만화.","9.80"
"1090","브리스크 펄데이즈","화창한 가을의 나날","9.02"
"1091","마녀는 그렇게 죽었다","우리가 모르던 마녀의 이야기","9.82"
"1092","여대생 차오름의 천사","히키코모리 여대생 ""차오름"", 그녀의 눈 앞에 ""미야""라는 꼬마 천사가 태어난다.","9.89"
"1093","카인의표적","악마의 표식을 얻은 자들의 싸움","9.85"
"1094","춘향전설","조선시대 학원액션물","9.74"
"1095","아이엠 헝그리","마법소녀 이야기","9.79"
"1096","여대생의 정석","평범한 일상","9.87"
"1097","홍차 리브레","홍차영의 서툴지만 설레이는 하루","9.89"
"1098","벨벳 모멘트","역사성 판타지액션","9.32"
"1099","도깨비를 키우는 방법","도둑과 도깨비","9.83"
"1100","괴괴괴괴괴","괴기한 이야기들","9.79"
"1101","협주곡","감성 스릴러","9.89"
"1102","오늘 뭐 해먹지?","음식을 통해 인생을 들여다 보다.","9.85"
"1103","도니월드","카툰초보 아저씨의 좌충우돌 일상기","8.21"
"1104","1인용 기분","오늘, 우리의 기분","9.88"
"1105","획","역동(力動)","9.86"
"1106","검은소","요괴 마을","9.84"
"1107","멋져! 김치가이","푸드맨들의 등장!","9.89"
"1108","고양이별, 지구별","집사 공감 일상툰","9.80"
"1109","이세계 용사랑 마왕 뭐 그런거 알잖아?","안 흔한 이세계물","9.88"
"1110","옥상난간에 엄지발가락","게으른 청춘의 일상이야기","9.73"
"1111","WaNDerer","그들","9.87"
"1112","12HOUR monster","-괴물이  있었다.","9.84"
"1113","난다고시원","가로 1.5m x 세로 2.2m 1평도 안 되는 고시원방  그 안에서 벌어지는 좌충우돌 코믹감동 드라마!","8.96"
"1114","주먹꾹","고양고양한 이 친구들을 만나보세요","9.90"
"1115","드래곤레이디","저의이름을 말해주세요.","9.72"
"1116","AI폰 아리랑","AI폰 아리랑","9.89"
"1117","평범한(?) 지구인들","일상툰","9.75"
"1118","볼트(VOLT)","SF 액션 판타지","9.74"
"1119","지오코소 가난뱅이","음악성장만화.","9.89"
"1120","비공식 공동체","각각 다른 개성을 가진 그들의 모임 비공식 공동체 !","8.86"
"1121","어글리후드","내가 외계인이니까","9.90"
"1122","노곤하개","아주 노곤노곤하 개","9.88"
"1123","내 낡은 서랍 속의 일기장","글/그림 - 정향준","9.87"
"1124","홍시는 날 좋아해!","안녕하세요, 홍시예요!","9.89"
"1125","힘을내요 노모파워","나이든 엄마의 육아일기","9.87"
"1126","상그미상","일상툰!","9.88"
"1127","푸므로 달려와","아빠와 딸","8.88"
"1128","달기알","달걀 닮아서 달기알.","9.88"
"1129","이별일기","사랑의 끝은","9.80"
"1130","곤충전","판타지","9.87"
"1131","북극곰자리","한 컷 동물 우화","9.72"
"1132","슈넨베리아","쌍둥이 이야기","9.87"
"1133","적막소녀","령을 보는 소녀","9.86"
"1134","너를 들을 수 있는","조금 특별한 동거","9.83"
"1135","좀비인간","국내에 퍼진 좀비 바이러스, 그 실체는?!","9.81"
"1136","아기낳는만화","쉽지만은 않았던 임신 이야기","9.88"
"1137","지옥으로부터의 나날들","커플지옥","9.43"
"1138","크리스마스 이브 캔 킬 유","크리스마스날 저는 하루종일 코만 풀었습니다.","9.70"
"1139","옆집여대생","순정웹툰","9.81"
"1140","사랑의 모양","동물귀 좋아요","9.53"
"1141","빅보이","거대해진 소년의 이야기","9.88"
"1142","종말의 왕국","모든 것을 잃은 남자 ‘제임스’ 의 생존기","9.58"
"1143","사냥꾼과 최형사","현대판 현상금사냥꾼","9.59"
"1144","꾸숑의 폭식니즘","배고프진 않은데, 그냥 먹어~ 이런 분들.. 모두 손!!!","9.73"
"1145","바람에 남긴 기억","마법의 세계","9.84"
"1146","HAVE A NICE DAY","일상을 그린 이야기","9.78"
"1147","송양 게스트 하우스","양 아가씨","9.75"
"1148","론즈(Lons)",".","9.82"
"1149","한라지강","이중소녀","9.89"
"1150","이왕이면 감사","네컷만화","9.76"
"1151","해결사","해결사를 하는 소년소녀의 일상물","9.88"
"1152","사춘기소녀 커플즈","커플즈","9.81"
"1153","사이어미즈","어새신 느와르","9.75"
"1154","10월 28일","같은 하루가 반복된다.","9.89"
"1155","나를 깨우러 온","꿈으로 사라져버린 사람들, 그들을 되찾아오는 사람들","9.90"
"1156","3분의1","엄마의 암투병과 바라보는 가족들의 속마음","9.87"
"1157","던전의 주인님","기다려왔던 이세계 환생! 쪼렙이라고 깔보지 마라, 인생은 실전이다!","9.88"
"1158","외인","유령이 보이는 여고생과 흡혈귀의 일상","8.58"
"1159","달콤쌉쌀,민트","첫사랑은 치약맛?","9.88"
"1160","그대 곁으로,","+그대 곁으로,+","8.41"
"1161","LSD","게임개발팀이야기","9.86"
"1162","오늘, 뭐했어?","일상 에피소드","9.70"
"1163","좀비와 함께 밥을!","배가고프다","9.89"
"1164","겨울에 웃는 꽃","연기 만화 (feat. 천재/먼치킨)","9.86"
"1165","나나의 교환학생이야기","터키로 떠난 나나!","9.88"
"1166","엘프하프","엘프 에루의 이야기","9.85"
"1167","BO고또'보'고","보토끼의소소한일상","9.03"
"1168","서른 되면 뭐 달라질 줄 아냐?","서른 넘어도 달라지는 거 하나도 없다.","9.86"
"1169","중고 팔레트","수상한 가게 이상한 물건","9.84"
"1170","반짝반짝 왕자님","반짝반짝 빛나는 왕자님과 독특한 친구들의 고교생활 이야기","9.89"
"1171","버블티","세 여대생들의 달콤하고 쫄깃쫄깃한 이야기 들어보실래요?","9.79"
"1172","내가 황제를 만났을때","손발이 사라지는 마법","9.69"
"1173","SAURUS","공룡 드라마","9.76"
"1174","언데드의사 김해골","던전의 몬스터의사 김해골","9.90"
"1175","옥탑빵","미용실 2층 옥탑빵 이야기","9.90"
"1176","스페셜 게스트","순정시대","9.82"
"1177","봄 비","학창시절 첫사랑","9.76"
"1178","티안","모험 액션 판타지","9.86"
"1179","옥탑방 갑남을녀","동거는 어려워","9.87"
"1180","상상클럽","우리들의 상상이야기","9.86"
"1181","사적인 거리","사적인 애들","9.86"
"1182","돌아와 리즈!","리즈시절로 되돌리기!","9.77"
"1183","나이베디야","소녀의 성장 판타지","9.85"
"1184","우리집","성장 드라마","9.72"
"1185","마음을 훔치는 여자","사람의 마음을 훔칠 수 있다면?","9.73"
"1186","스프토랑","그냥 스프집이야기","9.77"
"1187","오늘,응","꿈꾸는 프리랜서 응의 소소한 오늘.(자유연재)","9.77"
"1188","돌팔이 작명소","이름 지어드립니다","9.57"
"1189","골란기-시발섬의 식인종들-","[판타지] 천상 대전쟁","9.79"
"1190","궁디팡팡 토로토로","고양이 일상툰","9.28"
"1191","너란 꽃을 피워줘","순정 판타지","9.80"
"1192","검의계승자","7개의 검과 그 검들이 존재하는 이유","9.88"
"1193","그대 첫사랑","내 친구의 남자친구","9.87"
"1194","LOVE FIVE!","체육과에서 펼쳐지는 좌충우돌 러브스토리","8.92"
"1195","매구인게 어때서?!","판타지 러브코미디","9.84"
"1196","오늘도 버섯전골","버섯인간들에 인간같은 일상 이야기","9.52"
"1197","내손잡아줄사람","리메이크","9.83"
"1198","걸어서 30분","매주 금요일 귀갓길 30분 동안의 학원 로맨스","9.90"
"1199","오타쿠의 일상","오타쿠의일상","9.73"
"1200","무쇠","삐뚤어진 <갑조선>아 기다려라. 무쇠가 간다.","9.78"
"1201","전염소녀","행복은 전염된다.","9.86"
"1202","바람을 실은 메아리","세상을 속인 스캔들","9.52"
"1203","암흑도시","개그하는 조폭.","8.91"
"1204","청춘고딩","이러쿵저러쿵","9.68"
"1205","우리 오빠는 아이돌!","덕계못이라고?!","9.84"
"1206","후크","후크의 혁명기","9.87"
"1207","식물생활","초록초록한 일상 만나기","9.80"
"1208","루턴 -past story-","10년간의 혁명 이야기.","9.85"
"1209","그래일기","그래이야기","9.87"
"1210","잘지내나요?","잘지내나요?","9.80"
"1211","그림그리기 좋은날","만화같은 로맨스","9.89"
"1212","바퀴!","에나멜, 링크, 쉐퍼드","9.57"
"1213","은해갑을깝치","은해, 갑! 깝치, 을!","9.25"
"1214","좋아하는부분","빠져드는 부분","9.87"
"1215","붉은끈","귀신을 보는 두 남자 이야기","9.76"
"1216","집사람","보통 집사람의 짧은 하루이야기","9.87"
"1217","떠나가리","어디로든 떠나는 가리의 여행이야기!!","9.54"
"1218","플라워","소년소녀들의 이야기.","9.67"
"1219","간떨어지는 동거","구미호와 동거하기","9.87"
"1220","연필의 각도","선생님과 제자","9.87"
"1221","얀카툰","4컷 개그 판타지","8.85"
"1222","원주민 공포만화","공포, 기가 막힌반전","9.84"
"1223","지울 수 있을까?","과거로 인한 트라우마, 반복되는 꿈. 과연 지울 수 있을까?","9.90"
"1224","롼든girl","철없는 서울 촌녀자의 세상사는 이야기","9.58"
"1225","애니멀 팜!","반은 동물, 반은 인간.","9.87"
"1226","어항속 꽃밭","어항속 꽃밭","9.85"
"1227","발렌타인데이","남자는 모르지만 여자가되면 알수있을지도?!","9.69"
"1228","헌댁이 되기전에","백수 부부와 길바닥 출신 고양이의 평범한(?) 일상툰","9.79"
"1229","스쿱스","우주모험활극!","9.55"
"1230","망상되감기","아이들은 성장한다.","9.91"
"1231","고양이와 집사","조금은 특별한 반려동물 이야기.","9.74"
"1232","꾸까는 엉망진창","꼬마마녀 의 일상","9.86"
"1233","하아의 하루","강아지 일상툰!","9.86"
"1234","너를 싫어하는 방법","이것 참 난감한 짝사랑","9.90"
"1235","주부 1.5단","주부아닌 주부이야기","9.83"
"1236","IDOL FAN","은둔형 외톨이인 성하는 KEZZ의 팬사인회에 가기 위해 집 밖으로 나오게 되는데..","9.56"
"1237","그대라서","ich liebe dich","9.87"
"1238","북극의 밤","어느 한 천재 소녀 작가가 겪게되는 10개월 동안의 비밀 이야기","9.56"
"1239","데드위크 [Dead Week]","미드풍 액션 좀비물","9.79"
"1240","언원티드","찐따↔전세계 재벌1위","9.88"
"1241","찬란하지 않아도 괜찮아","찬란해야 할 것 같은 청춘, 하지만","9.79"
"1242","사이클","포스트 아포칼립스","9.88"
"1243","닥터관찰일지","좀비와 동고동락","9.86"
"1244","봉쥬르보리","봉쥬르","9.36"
"1245","스타더스트","우주구조대!버텨라!!2년!!","8.88"
"1246","별의아씨","-","9.61"
"1247","왕과 나","조선시대 학교생활","9.85"
"1248","식욕 로맨스","먹잇감 여주와 본격인간먹방?남주","9.88"
"1249","우리집에 놀러와!!","이상한 애들이다","9.85"
"1250","불꽃에 휘날리다","최초의 소방 극화","9.84"
